,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.0667781829833975
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918
5,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.5416831970214835
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576
99,0.91100001,LIE,WesternDem,102243.52,,,,,
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.300000200000001,8.8999996,3.668798446655273
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
13,0.741,ARM,EastEurope,6451.9399,2.9800000190734863,14.699999809265142,3.9100001000000004,28.0,4.480149269104004
54,0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
119,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.7972259521484375
51,0.73900002,ECU,LatAm,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
34,0.39399999,TCD,SubSaharian,1651.05,,89.4000015258789,0.63999999,,3.6211643218994136
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.8189985752105713
65,0.57499999,GHA,SubSaharian,2584.6001,,48.599998474121094,1.64,6.3000002,3.557291984558107
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265138,1.5700001000000001,30.299999,4.980796337127686
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
110,0.75800002,MEX,LatAm,13609.42,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
